priref;rce_id;institution_name;institution_place;material_1;material_2;category;object_name;creator_name;creator_birth_date;creator_death_date;creator_digital_reference;cretor_gender;Production/0/creator/gender/text/1/_language;Production/0/creator/gender/text/1/__text;creator_pob;creator_pod;production_place;title;acquisition_source;acquisition_place;associated_subject
19523;rce_19523;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;Probst, G.B.;1673;1748;;male;1;man;;;Duitsland;De kerk en de Piazza S. Pietro, Florence;Bal, Willem H.;MIDDELBURG;prent
19973;rce_19973;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;opticaprent;onbekend;;;;unknown;1;onbekend;;;Frankrijk;Paleis en tuin van de Tuillerieën, Parijs;Bal, Willem H.;MIDDELBURG;prent
20529;rce_20529;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;spiegelglas;;toegepaste kunst;schoorsteenspiegel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Gemeente Velsen;VELSEN;meubel
22764;rce_22764;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;staande klok;Snijdelaar, B.W.;;1760;;male;1;man;;;LEEUWARDEN;-;Otte-Vogelsang, mw. A.A.M.;;staande klok
22765;rce_22765;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;staande klok;Tasma, D.J.;1754-08-11;1850-08-12;;male;1;man;GROU;GROU;GROU;-;Otte-Vogelsang, mw. A.A.M.;;staande klok
22767;rce_22767;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;notenhout;;toegepaste kunst;tafelklok;Tasma, D.J.;1754-08-11;1850-08-12;;male;1;man;GROU;GROU;GROU;-;Otte-Vogelsang, mw. A.A.M.;;interieuraccessoire
22775;rce_22775;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;lood;messing;toegepaste kunst;kortstaartklok;Oosterwerf, D.A.;;;;male;1;man;;;;-;Otte-Vogelsang, mw. A.A.M.;;staartklok
22905;rce_22905;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;zilver;;toegepaste kunst;kist;onbekend;;;;unknown;1;onbekend;;;Batavia;-;Wagenaar-Hofman, mw. J.W.;ZANDVOORT;
22911;rce_22911;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;dekseldoos;onbekend;;;;unknown;1;onbekend;;;Amsterdam;-;Wagenaar-Hofman, mw. J.W.;ZANDVOORT;
22913;rce_22913;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;schaal;onbekend;;;;unknown;1;onbekend;;;Batavia;-;Wagenaar-Hofman, mw. J.W.;ZANDVOORT;
24057;rce_24057;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;avondmaalsbeker;onbekend;;;;unknown;1;onbekend;;;GORINCHEM;-;Waal, erven L.J.P. de;Arkel;metaal
24365;rce_24365;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Bohemen[CZ];-;Lee, erven dhr. J.J. van der;Den Haag;glas
24366;rce_24366;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Bohemen[CZ];-;Lee, erven dhr. J.J. van der;Den Haag;glas
24367;rce_24367;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Duitsland? Nederland?;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24368;rce_24368;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Duitsland? Nederland?;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24369;rce_24369;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Saksen[DE], Lauenstein[DE] of Hessen[DE];-;Lee, erven dhr. J.J. van der;Den Haag;glas
24370;rce_24370;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Bohemen[CZ], Duitsland;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24372;rce_24372;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;Sang, J.;1720;1786;https://rkd.nl/explore/artists/252222;male;1;man;;;Nederland? Engeland?;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24373;rce_24373;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Nederland? Engeland?;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24374;rce_24374;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Nederland? Engeland?;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24375;rce_24375;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;borrelglas;onbekend;;;;unknown;1;onbekend;;;Lauenstein[DE];-;Lee, erven dhr. J.J. van der;Den Haag;glas
24377;rce_24377;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24378;rce_24378;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24380;rce_24380;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kelkglas;onbekend;;;;unknown;1;onbekend;;;Nederland? Engeland?;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24395;rce_24395;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;karaf;onbekend;;;;unknown;1;onbekend;;;Bohemen[CZ]? Luik[BE]?;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24399;rce_24399;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;wijnglas;onbekend;;;;unknown;1;onbekend;;;Noord-Duitsland;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24400;rce_24400;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;slingerglas;onbekend;;;;unknown;1;onbekend;;;Duitsland? Nederland?;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24401;rce_24401;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;jeneverglas;onbekend;;;;unknown;1;onbekend;;;Duitsland;-;Lee, erven dhr. J.J. van der;Den Haag;glas
24430;rce_24430;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;wijnglas;Blijk, J. van den;;;;male;1;man;;;Nederland? Engeland?;-;Lee, erven dhr. J.J. van der;Den Haag;glas
25284;rce_25284;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;gravure;Fokke, S.;1712-09-01;1784-08-10;https://rkd.nl/explore/artists/28456;male;1;man;Amsterdam;;Noordelijke Nederlanden;Het stadhuis, de Waag en de Nieuwe Kerk, Amsterdam;Maanen-Helmer, Elizabeth van;WAGENINGEN;werk op papier
25288;rce_25288;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;gravure;Fouquet, P. II;1729;1800-09-13;;male;1;man;Amsterdam;Amsterdam;Noordelijke Nederlanden;Het mannentuchthuis of rasphuis, Amsterdam;Maanen-Helmer, Elizabeth van;WAGENINGEN;werk op papier
25345;rce_25345;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;;moderne kunst;houtskooltekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 90: De Heer is Mijn Herder;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25367;rce_25367;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;inkt;;moderne kunst;tekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 195: Millionen seid umschlungen ...;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25412;rce_25412;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;krijt;papier;moderne kunst;tekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 383: Eng'lenrei der opperste Begeerten;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25433;rce_25433;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;oost-indische inkt;;moderne kunst;pentekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 471: De visch der aanvaarding zwemt in het zingende bloed van den heer.....;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25533;rce_25533;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;oost-indische inkt;;moderne kunst;pentekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 819: De Zucht. De kanteling van Hoogmoeds Woord volbrac;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25555;rce_25555;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;oost-indische inkt;;moderne kunst;pentekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 1011: De Vader wil naar Zonde luisteren;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25565;rce_25565;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;oost-indische inkt;;moderne kunst;pentekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 1034: Geheimnis en Verlangen drijft de Geest naar 't Ha;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25632;rce_25632;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;krijt;moderne kunst;houtskooltekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 1202: De waan van 't Mensch zijn;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25657;rce_25657;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;krijt;moderne kunst;tekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 1273: Het donk're Zelf verloren;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25739;rce_25739;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;krijt;moderne kunst;houtskooltekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 1652: Bé Schuurman - Bédate;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25764;rce_25764;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;krijt;moderne kunst;houtskooltekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 1774: Zie de Aardbol spleet en uit de Rotsen van het;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25785;rce_25785;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;krijt;moderne kunst;tekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 2057: Wat mij van alle mensen onderscheidt is mijn mees;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25818;rce_25818;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;krijt;moderne kunst;tekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 2349: Het kind, dat iets mag doen, dat even mag één woo;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25839;rce_25839;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;;moderne kunst;houtskooltekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 2506: Sonus, het geluid van het verlangen naar God;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
25891;rce_25891;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;krijt;moderne kunst;houtskooltekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 2821: Jahweh;Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
26024;rce_26024;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;krijt;moderne kunst;tekening;Plasschaert, A.A.;1866-10-10;20-04-41;https://rkd.nl/explore/artists/63799;male;1;man;DELFT;Hilversum;;Opus 4637-4647: De Wijsheid der Liefde [etc.];Stedelijk Museum Zutphen;ZUTPHEN;werk op papier
26051;rce_26051;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;lithografie;Holswilder, J.P.;1850-11-17;1890-08-20;https://rkd.nl/explore/artists/39288;male;1;man;Leiden;Den Haag;;Zaal van de Tweede Kamer der Staten Generaal;School voor de Grafische Vakken (Collectie Van Huffel);UTRECHT;prent
27269;rce_27269;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;ets;Schouman, A.;1710-03;1792-07-09;;male;1;man;DORDRECHT;Den Haag;;Mr. Jacob Gilles, raadpensionaris van Holland;Rijksprentenkabinet;Amsterdam;prent
27439;rce_27439;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;ets;Schouman, A.;1710-03;1792-07-09;;male;1;man;DORDRECHT;Den Haag;;François van Aarsens, Heer van Sommelsdijk, ambassadeur aan het Hof van Frankrijk;Rijksprentenkabinet;Amsterdam;prent
27494;rce_27494;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;ets;Dijk, Ph. van;1683-01-10;1753-07-02;https://rkd.nl/explore/artists/22940;male;1;man;Amsterdam;Den Haag;;François Fagel III (1659-1746), griffier van de Hoogmogende;Rijksprentenkabinet;Amsterdam;prent
27716;rce_27716;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;ets;Buys, J.;1724-11-29;1801-04-07;;male;1;man;Amsterdam;Amsterdam;;Johan van Oldenbarneveld, landsadvocaat van Holland, raadspe;Rijksprentenkabinet;Amsterdam;prent
27818;rce_27818;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;kopergravure;Meyer, P.;;;;male;1;man;;;;Willem V (1748-1806), prins van Oranje;Rijksprentenkabinet;Amsterdam;prent
27921;rce_27921;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;litho;Springer, L.;1789-03-05;1871-10-29;https://rkd.nl/explore/artists/74436;male;1;man;Leiden;Leiden;;Frans Hemsterhuis, wijsgeer en letterkundige;Rijksprentenkabinet;Amsterdam;prent
27999;rce_27999;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;mezzotint;Palthe, J.;1717-02-14;1769-06-24;;male;1;man;Deventer;Leiden;;Tiberius Hemsterhuis (1685-1766);Rijksprentenkabinet;Amsterdam;prent
28028;rce_28028;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;moderne kunst;affiche;Doesburg, Theo van;1883-08-30;07-03-31;https://rkd.nl/explore/artists/23481;male;1;man;UTRECHT;Davos;;Affiche Kleine Dadasoirée;"Moorsel, Louise H.M. van; Doesburg-van Moorsel, P.";Amsterdam;werk op papier
28745;rce_28745;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;krijt;papier;oude kunst;potloodtekening;Looy, J. van;1855-09-12;24-02-30;https://rkd.nl/explore/artists/50794;male;1;man;Haarlem;Haarlem;;Een schelpenkar in Zandvoort;Scheffers, dhr. J.F.;Haarlem;werk op papier
28763;rce_28763;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;potlood;papier;oude kunst;pentekening;Looy, J. van;1855-09-12;24-02-30;https://rkd.nl/explore/artists/50794;male;1;man;Haarlem;Haarlem;;Koppen van Zwitserse vrouwen in Bazel;Scheffers, dhr. J.F.;Haarlem;werk op papier
28795;rce_28795;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;krijt (zwart);papier;oude kunst;potloodtekening;Looy, J. van;1855-09-12;24-02-30;https://rkd.nl/explore/artists/50794;male;1;man;Haarlem;Haarlem;;Melker, die zijn middagdutje doet.;Scheffers, dhr. J.F.;Haarlem;werk op papier
29167;rce_29167;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;stoel;Doesburg, Theo van;1883-08-30;07-03-31;https://rkd.nl/explore/artists/23481;male;1;man;UTRECHT;Davos;;Thonetstoel, Café-brasserie, Aubette;"Moorsel, Louise H.M. van; Doesburg-van Moorsel, P.";Amsterdam;hout
30243;rce_30243;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;bekledingsstof;;toegepaste kunst;stoel;onbekend;;;;unknown;1;onbekend;;;Nederland? Frankrijk?;-;Ambtswoning Commissaris der Koningin in Brabant;DEN BOSCH;ameublement
30286;rce_30286;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;kersenhout;;toegepaste kunst;guéridon;onbekend;;;;unknown;1;onbekend;;;;-;Jaffé-Pierson, mw. C.E.;NAARDEN;meubel
31529;rce_31529;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarelverf;houtskool;oude kunst;houtskooltekening;Jonge, J.A. de;1864-11-07;09-12-27;https://rkd.nl/explore/artists/88554;male;1;man;Rotterdam;Den Haag;;Scheveningen strandgezicht;Jonge, erven jhr. mr. J.A. de;Den Haag;werk op papier
31965;rce_31965;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;krijt;papier;oude kunst;krijttekening;Jonge, J.A. de;1864-11-07;09-12-27;https://rkd.nl/explore/artists/88554;male;1;man;Rotterdam;Den Haag;;Familie aan het strand;Jonge, erven jhr. mr. J.A. de;Den Haag;werk op papier
32245;rce_32245;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;houtskool;papier;oude kunst;houtskooltekening;Jonge, J.A. de;1864-11-07;09-12-27;https://rkd.nl/explore/artists/88554;male;1;man;Rotterdam;Den Haag;;Zuidelijk landschap bij zee;Jonge, erven jhr. mr. J.A. de;Den Haag;werk op papier
32511;rce_32511;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarelverf;papier;oude kunst;krijttekening;Jonge, J.A. de;1864-11-07;09-12-27;https://rkd.nl/explore/artists/88554;male;1;man;Rotterdam;Den Haag;;Portret van een vrouw;Jonge, erven jhr. mr. J.A. de;Den Haag;werk op papier
32635;rce_32635;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;aquarelverf;papier;oude kunst;aquarel;Jonge, J.A. de;1864-11-07;09-12-27;https://rkd.nl/explore/artists/88554;male;1;man;Rotterdam;Den Haag;;Zittend meisje bij het venster;Jonge, erven jhr. mr. J.A. de;Den Haag;werk op papier
33191;rce_33191;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;moderne kunst;affiche;Doesburg, Theo van;1883-08-30;07-03-31;https://rkd.nl/explore/artists/23481;male;1;man;UTRECHT;Davos;;Affiche: De Stijl/Cercle et Carré (contra-composition 1924);"Moorsel, Louise H.M. van; Doesburg-van Moorsel, P.";Amsterdam;prent
34378;rce_34378;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;tinglazuur;hout;toegepaste kunst;schaal;onbekend;;;;unknown;1;onbekend;;;Italië;-;Kröller-Müller Museum;OTTERLO;majolica
34573;rce_34573;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;fluweel;;toegepaste kunst;stoel;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Rijksmuseum Gevangenpoort;;meubel
34625;rce_34625;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;inkt;;oude kunst;litho;Roland Holst, R.N.;1868-12-04;31-12-38;https://rkd.nl/explore/artists/39274;male;1;man;Amsterdam;BLOEMENDAAL;;-;Kröller-Müller Museum;OTTERLO;prent
34627;rce_34627;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;inkt;;oude kunst;litho;Roland Holst, R.N.;1868-12-04;31-12-38;https://rkd.nl/explore/artists/39274;male;1;man;Amsterdam;BLOEMENDAAL;;-;Kröller-Müller Museum;OTTERLO;prent
34885;rce_34885;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;tin;;toegepaste kunst;kan;onbekend;;;;unknown;1;onbekend;;;DELFT;-;Kröller-Müller Museum;OTTERLO;kan
34986;rce_34986;Rijksmuseum;Amsterdam;doek;;moderne kunst;schilderij;Israëls, Jozef;1824-01-27;12-08-11;https://rkd.nl/explore/artists/41177;male;1;man;GRONINGEN;Den Haag;;Blik in de verte;Rijksmuseum Amsterdam;Amsterdam;landschap
35616;rce_35616;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;halbank;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Kröller-Müller Museum;OTTERLO;bank
36189;rce_36189;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;kist;onbekend;;;;unknown;1;onbekend;;;Nederland;-;Academie van Beeldende Kunsten Rotterdam;Rotterdam;meubel
37211;rce_37211;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;toegepaste kunst;staande klok;Bergh, P. van den;;1792-08-10;;male;1;man;Den Haag;Rotterdam;Rotterdam;-;Kröller-Müller Museum;OTTERLO;staande klok
37237;rce_37237;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Lauri, F.;1623-08-25;1694-12-12;https://rkd.nl/explore/artists/48350;male;1;man;ROME;ROME;;Landschap met herders;Mauritshuis;Den Haag;historie
37244;rce_37244;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Musscher, M. van;1645-01-27;1705-06-20;https://rkd.nl/explore/artists/58614;male;1;man;Rotterdam;Amsterdam;;Familieportret;Mauritshuis;Den Haag;portret
52058;rce_52058;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Sangster, H.A.;1825-09-25;23-02-01;https://rkd.nl/explore/artists/69637;male;1;man;Nijkerk;Amsterdam;;Gerrit Jan Koopman (1802-1877);Koopman, ir. Willem;Voorthuizen;portret
52068;rce_52068;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;papier;;oude kunst;litho;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;Joan Cornelis Reynst (1798-1871), waarnemend Gouverneur-Generaal van Nederlands Indië;Merens, Allard;;prent
52080;rce_52080;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;inkt;;oude kunst;tekening;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;Lucas Merens (1795-1863), dominee;Merens, Allard;;
52088;rce_52088;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Netscher, C. (1639);1639;1684-01-15;;male;1;man;Heidelberg;Den Haag;;Matthias Romswinckel (1618-1699);Verschoor Gerlings, Nicolaas W.;;geschiedenis
52235;rce_52235;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;Hendrik Scheurleer (ca.1638-voor 1672);Lunsingh Scheurleer-de Meester, Johanna C.C.;Den Haag;portret
52551;rce_52551;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;oude kunst;portretbuste;onbekend;;;;unknown;1;onbekend;;;Frankrijk;Jean qui rit;Fabius, Kaeso;BILTHOVEN;beeldhouwkunst
52552;rce_52552;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;;;oude kunst;portretbuste;onbekend;;;;unknown;1;onbekend;;;Frankrijk;Jean qui pleure;Fabius, Kaeso;BILTHOVEN;beeldhouwkunst
52582;rce_52582;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;onbekend;;;;unknown;1;onbekend;;;Nederland;Portret van een man, mogelijk Herman Arnoldus Gerlings (1700-1749);Indeweij Gerlings, dhr. J.H.;Den Haag;portret
52651;rce_52651;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Appelius, J.;;;;male;1;man;;;;Pieter Johan Macaré (1732-1781);Rethaan-Macaré, jhr. mr. dr. Adrien J.C.;Den Haag;
52652;rce_52652;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Appelius, J.;;;;male;1;man;;;;Jacoba Johanna van Hoorn (1736-1783);Rethaan-Macaré, jhr. mr. dr. Adrien J.C.;Den Haag;portret
52814;rce_52814;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Pieneman, N. (1809-01-01);1809-01-01;1860-12-30;https://rkd.nl/explore/artists/63372;male;1;man;AMERSFOORT;Amsterdam;;Adriaan Hendrik de Bruïne (1808-1870);Furstner, jhr. ir. H.;Hilversum;
52821;rce_52821;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;inkt;;oude kunst;silhouet;onbekend;;;;unknown;1;onbekend;;;Noordelijke Nederlanden;Dirk Merens;Merens, Allard;Den Haag;
52841;rce_52841;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;onbekend;;;;unknown;1;onbekend;;;Nederland;Félice Marie Cecile Tamina Taets van Amerongen (1817-1839);Bylandt, E.A.H.B. graaf van;Wassenaar;portret
52913;rce_52913;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Tischbein, J.F.A.;1750-03-09;1812-06-21;https://rkd.nl/explore/artists/77628;male;1;man;MAASTRICHT;Heidelberg;;Abraham Calkoen (1729-1796), heer van Kortenhoef;Calkoen, Abraham baron;Den Haag;portret
52930;rce_52930;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;paneel;;oude kunst;schilderij;Backer, J.A.;1608;1651-08-17;;male;1;man;HARLINGEN;Amsterdam;;Margareta Bas (1608-1679), echtgenote van Willem van Loon;Calkoen, Abraham baron;Den Haag;portret
52969;rce_52969;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;wortelnotenhout;messing;toegepaste kunst;kist;onbekend;;;;unknown;1;onbekend;;;Azië;-;Vogler, Emil B.;Den Haag;kist
52973;rce_52973;Rijksdienst voor het Cultureel Erfgoed;AMERSFOORT;doek;;oude kunst;schilderij;Kinsoen, F.J.;1771-02-28;1839-10-18;;male;1;man;Brugge;Brugge;;Louise Sillem (1808-1896);Marle-Gravin Schimmelpenninck, Elisabeth A.E.M. va;BUSSUM;portret
